title,bulk_notes,is_gpu
COMPOSITE SVIDEO HDMI CONVERTER,"SKU: 065030845274, Vendor: StarTech.com",0
PNY NVIDIA GeForce RTX 5080 Graphic Card - 16 GB GDDR7,"SKU: 0751492794273, Vendor: PNY Technologies",1
AV BRIDGE NANO,"SKU: 840077508104, Vendor: LEGRAND AV - VADDIO",0
TUF NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 195553964791, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105301566, Vendor: ASUS Computer International",1
"Manhattan VGA and USB-A to HDMI Converter, Analog VGA Video and USB Audio to Digital HDMI Signal, 1920x1080, 1080p@60Hz, 24-bit colour, 1.65 Gbps / 165 MHz, Three Year Warranty, Blister","SKU: 152426, Vendor: IC INTRACOM",0
Asus NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553991223, Vendor: ASUS Computer International",1
Cisco NVIDIA A16 Graphic Card - 64 GB,"SKU: UCSX-GPU-A16-D, Vendor: Cisco Systems, Inc",1
Asus NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553991223, Vendor: ASUS Computer International",1
StarTech.com Composite and S-Video to VGA Video Scan Converter,"SKU: VID2VGATV2, Vendor: StarTech.com",0
StarTech.com HDMI or DVI to DisplayPort Active Converter,"SKU: HDMI2DP, Vendor: StarTech.com",0
NVIDIA NVIDIA RTX 4000 Ada Graphic Card - 20 GB GDDR6 - Full-height,"SKU: 812674025469, Vendor: NVIDIA Corporation",1
AMX NMX-WP-N3510 MULTI-CHANNEL,"SKU: 718878025796, Vendor: HARMAN PRO",0
ASUS ROG STRIX LC AMD RADEON,"SKU: 195553251815, Vendor: ASUS - AMD",0
AMD Radeon Pro W5700 Graphic Card - 8 GB GDDR6 - Full-height,"SKU: 100-506085, Vendor: Advanced Micro Devices, Inc",0
P7304 VIDEO ENCODER 4 CHANNEL,"SKU: 7331021066403, Vendor: AXIS COMMUNICATION INC",0
Gigabyte NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 889523036563, Vendor: GIGABYTE Technology, Inc",1
GT 1030 4GD4 LP OC,"SKU: 0824142327654, Vendor: MSI - NVIDIA",0
Aflex5D 2D/3D Multi-Projector Stacking Processor,"SKU: AF5D-21, Vendor: Elite Screens, Inc",0
Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 197105515673, Vendor: ASUS Computer International",0
PNY NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: 0751492794471, Vendor: PNY Technologies",1
NETWORK CONTROLLER FOR HDMI,"SKU: 0757120299776, Vendor: LEGRAND AV - C2G",0
QUADRO HB SLI 2-WAY 3-SLOT KIT,"SKU: 751492602622, Vendor: PNY QUADRO",0
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6,"SKU: 0197105299412, Vendor: ASUS Computer International",1
Gefen Multi-Format Processor (EXT-MFP),"SKU: EXT-MFP, Vendor: Gefen, Inc",0
TUF AMD Radeon RX 7900 GRE Graphic Card - 16 GB GDDR6,"SKU: 197105548466, Vendor: ASUS Computer International",0
TUF-RTX5070-O12G-GAMING,"SKU: 197105870352, Vendor: ASUS",1
Cisco NVIDIA A16 Graphic Card - 64 GB,"SKU: UCSX-GPU-A16-D, Vendor: Cisco Systems, Inc",1
PNY NVIDIA GeForce RTX 5090 Graphic Card - 32 GB GDDR7,"SKU: 0751492794235, Vendor: PNY Technologies",1
PNY NVIDIA Quadro RTX A6000 Graphic Card - 48 GB GDDR6 - Full-height,"SKU: 751492641263, Vendor: PNY Technologies",1
Asus NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553991223, Vendor: ASUS Computer International",1
DT RADEON PRO NAVI31 XL-W MBA T,"SKU: 0727419314886, Vendor: AMD PRO GRAPHICS",0
Black Box Audio Embedder/De-embedder - HDMI 2.0,"SKU: AEMEX-HDMI-R2, Vendor: Black Box Corporation",0
NV 1000 8G CARD,"SKU: 195892052913, Vendor: Lenovo Group Limited",1
PNY NVIDIA GeForce RTX 5090 Graphic Card - 32 GB GDDR7,"SKU: 0751492794235, Vendor: PNY Technologies",1
"Black Box MCX S7 4K60 Network AV Encoder - HDCP 2.2, HDMI 2.0, 10-GbE Fiber","SKU: MCX-S7-FO-ENC, Vendor: Black Box Corporation",0
Asus NVIDIA GeForce RTX 3060 Graphic Card - 8 GB GDDR6,"SKU: 195553987509, Vendor: ASUS Computer International",1
Matrox TripleHead2Go Digital Multi-Display Adapter,"SKU: T2G-D3D-IF, Vendor: Matrox",0
Kramer 18G 4K HDMI ProScale Digital Scaler with HDMI and USB-C Inputs,"SKU: 72-042490, Vendor: Kramer Electronics LTD",0
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142311769, Vendor: MSI",1
AMD Radeon Pro WX 7100 Graphic Card - 8 GB GDDR5 - Full-height,"SKU: 818245780621, Vendor: Advanced Micro Devices, Inc",0
VisionTek AMD Radeon RX 560 Graphic Card - 4 GB GDDR5 - Low-profile,"SKU: 818275728556, Vendor: VisionTek Products, LLC",0
Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 0889523041840, Vendor: GIGABYTE Technology, Inc",0
HP NVIDIA RTX A1000 Graphic Card - 8 GB GDDR6,"SKU: AV8J4AA, Vendor: HP Inc.",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105136649, Vendor: ASUS Computer International",1
VanCryst VC010 VGA EDID Emulator-TAA Compliant,"SKU: 818276921659, Vendor: ATEN Technology, Inc",0
Lenovo AMD Instinct MI210 Graphic Card - 64 GB HBM2e - Full-height,"SKU: 889488632091, Vendor: Lenovo Group Limited",0
MSI RTX 5070 12G VENTUS 2X OC WHITE,"SKU: 824142405703, Vendor: MSI",1
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 197105454736, Vendor: ASUS Computer International",0
ASRock Intel Arc A770 Graphic Card - 16 GB GDDR6,"SKU: 4710483943546, Vendor: ASRock, Inc",0
Black Box MCX G2 DisplayPort Copper/Fiber Transcoder,"SKU: 822088279068, Vendor: Black Box Corporation",0
PNY NVIDIA RTX A2000 Graphic Card - 12 GB GDDR6 - Low-profile,"SKU: 751492653914, Vendor: PNY Technologies",1
Black Box Audio Embedder/De-embedder - HDMI 2.0,"SKU: AEMEX-HDMI-R2, Vendor: Black Box Corporation",0
NVIDIA RTX 6000 ADA 48GB 4DP,"SKU: 198122366484, Vendor: HP INC. - NSB OPTIONS",1
Gigabyte NVIDIA GeForce RTX 5070 Ti Graphic Card - 16 GB GDDR7,"SKU: 889523048504, Vendor: GIGABYTE Technology, Inc",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105301566, Vendor: ASUS Computer International",1
AVerMedia Live Gamer 4K (GC573),"SKU: GC573, Vendor: AVerMedia Technologies, Inc",0
NVIDIA RTX 6000 ADA 48GB 4DP,"SKU: 198122366484, Vendor: HP INC. - NSB OPTIONS",1
PNY NVIDIA RTX 4000 Graphic Card - 20 GB GDDR6 - Low-profile,"SKU: 751492776798, Vendor: PNY Technologies",1
Mimo Monitors HDMI Capture Card (HCP-1080),"SKU: 993246655854, Vendor: Mimo Monitors, Inc",0
VGA TO RCA OR S VIDEO CONVERTER,"SKU: 065030882590, Vendor: STARTECH.COM",0
MSI NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 0824142325667, Vendor: MSI",1
AVerMedia X'TRA GO (GC515),"SKU: GC515 (White), Vendor: AVerMedia Technologies, Inc",0
MSI NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 824142280850, Vendor: MSI",1
MSI NVIDIA GeForce GT 710 Graphic Card - 2 GB DDR3 SDRAM - Low-profile,"SKU: 824142126905, Vendor: MSI",0
SFF-READY ASUS PRIME GEFORCE,"SKU: 0197105878068, Vendor: ASUS - VGA NVIDIA",0
ComNet FVT8014M1 Video Encoder,"SKU: FVT8014M1, Vendor: ACRE",0
D1110 VIDEO DECODER,"SKU: 7331021075696, Vendor: AXIS COMMUNICATION INC",0
Asus NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 197105182820, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105432017, Vendor: ASUS Computer International",1
MSI RTX 5080 16G VENTUS 3X OC PLUS,"SKU: 824142395851, Vendor: MSI",1
Asus NVIDIA GeForce GTX 1650 EVO Graphic Card - 4 GB GDDR6,"SKU: 197105004009, Vendor: ASUS Computer International",0
Asus NVIDIA GeForce RTX 3070 Graphic Card - 8 GB GDDR6,"SKU: 195553320023, Vendor: ASUS Computer International",1
PHOENIX GEFORCE RTX 3050 EVO,"SKU: 0195553815468, Vendor: ASUS - VGA NVIDIA",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105301566, Vendor: ASUS Computer International",1
StarTech.com HDMI or DVI to DisplayPort Active Converter,"SKU: DY8898, Vendor: StarTech.com",0
Radeon AMD Radeon Pro W7700 Graphic Card - 16 GB GDDR6 - Full-height,"SKU: 727419314992, Vendor: Advanced Micro Devices, Inc",0
KanexPro HDMI 1080p USB 2.0 Gaming Capture Dongle,"SKU: 813982022607, Vendor: KanexPro",0
RADEON 6570 1GB DDR3DVI-I HDMI,"SKU: 810078050544, Vendor: VISIONTEK",0
10PK P7224 VIDEO ENCODER BLADE,"SKU: 7331021037564, Vendor: Axis Communications",0
MSI NVIDIA GeForce RTX 3060 Ti Graphic Card - 8 GB GDDR6X,"SKU: 824142307953, Vendor: MSI",1
ASRock Intel Arc A580 Graphic Card - 8 GB GDDR6,"SKU: 4710483941634, Vendor: ASRock, Inc",0
AMX IRIS2 CAPTURE UNIT,"SKU: 718878035153, Vendor: HARMAN PRO",0
HP NVIDIA Quadro K5200 Graphic Card - 8 GB,"SKU: J1Q22AV, Vendor: HP Inc.",0
VanCryst True 4K HDMI EDID Emulator Adapter,"SKU: VC081A, Vendor: ATEN Technology, Inc",0
Gigabyte NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: GV-N5070AERO OC-12GD, Vendor: GIGABYTE Technology, Inc",1
Asus AMD Radeon RX 7800 XT Graphic Card - 16 GB GDDR6,"SKU: 0197105436176, Vendor: ASUS Computer International",0
MSI NVIDIA GeForce RTX 3060 Ti Graphic Card - 8 GB GDDR6X,"SKU: 824142307953, Vendor: MSI",1
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142311769, Vendor: MSI",1
ASUS TUF GAMING GEFORCE RTX,"SKU: 197105868335, Vendor: ASUS - VGA NVIDIA",0
Asus ROG NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6,"SKU: 197105246447, Vendor: ASUS Computer International",1
GRAPHIC_BO RTX 2000 ADA 16GB,"SKU: 195892100201, Vendor: LENOVO OPTIONS",1
GEFORCE GT 710 2GB,"SKU: 0824142126905, Vendor: MSI - NVIDIA",0
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 197105454736, Vendor: ASUS Computer International",0
XTRA GO GC515 BLACK,"SKU: 850061690098, Vendor: AVERMEDIA",0
TUF NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 195553964791, Vendor: ASUS Computer International",1
Black Box 3G-SDI/HD-SDI to HDMI Converter,"SKU: VSC-SDI-HDMI, Vendor: Black Box Corporation",0
MSI NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 824142374474, Vendor: MSI",1
MSI RTX 5070 TI 16G INSPIRE 3X OC,"SKU: 824142408469, Vendor: MSI",1
RTX 5070 12G VENTUS 2X OC,"SKU: 824142405727, Vendor: MSI",1
Asus NVIDIA GeForce RTX 3060 Graphic Card - 8 GB GDDR6,"SKU: 195553987509, Vendor: ASUS Computer International",1
MSI NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 824142280850, Vendor: MSI",1
COMPOSITE SVIDEO HDMI CONVERTER,"SKU: 065030845274, Vendor: StarTech.com",0
Vaddio Bridge Mini Audio/Video Encoder - For Video Conferencing Applications,"SKU: 840077501778, Vendor: Vaddio",0
COMPOSITE SVIDEO HDMI CONVERTER,"SKU: 065030845274, Vendor: StarTech.com",0
"Manhattan VGA and USB-A to HDMI Converter, Analog VGA Video and USB Audio to Digital HDMI Signal, 1920x1080, 1080p@60Hz, 24-bit colour, 1.65 Gbps / 165 MHz, Three Year Warranty, Blister","SKU: 152426, Vendor: IC INTRACOM",0
RTX 4060 VENTUS 2X BLACK 8G OC,"SKU: 0824142330302, Vendor: MSI - NVIDIA",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 197105515673, Vendor: ASUS Computer International",0
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105476004, Vendor: ASUS Computer International",1
Cisco AMD FirePro S7150 x2 Graphic Card,"SKU: HX-GPU-7150X2, Vendor: Cisco Systems, Inc",0
Asus AMD Radeon RX 7700 XT Graphic Card - 12 GB GDDR6,"SKU: 0197105430334, Vendor: ASUS Computer International",0
Matrox TripleHead2Go DP Edition Multi-Display Adapter,"SKU: T2G-DP-MIF, Vendor: Matrox",0
TUF NVIDIA GeForce RTX 3070 Graphic Card - 8 GB GDDR6,"SKU: 195553320146, Vendor: ASUS Computer International",1
MSI NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 824142374474, Vendor: MSI",1
THE SFF-READY ASUS PRIMEGEFORCE,"SKU: 197105868397, Vendor: ASUS - VGA NVIDIA",0
Cisco NVIDIA Tesla M6 Graphic Card,"SKU: 882658861734, Vendor: Cisco Systems, Inc",0
VisionTek ATI Radeon HD 5450 Graphic Card - 2 GB DDR3 SDRAM,"SKU: 993246082582, Vendor: VisionTek Products, LLC",0
Asus ROG NVIDIA GeForce RTX 3070 Ti Graphic Card - 8 GB GDDR6,"SKU: 195553243087, Vendor: ASUS Computer International",1
HP NVIDIA RTX 5000 Ada Graphic Card - 32 GB GDDR6 - Full-height,"SKU: 196548771929, Vendor: HP Inc.",1
NVIDIA RTX A4000E 16GB 4DP GFX,"SKU: 196548978052, Vendor: HP Commercial Specialty",1
Gigabyte NVIDIA GeForce RTX 5080 Graphic Card - 16 GB GDDR7,"SKU: GV-N5080AERO OC-16GD, Vendor: GIGABYTE Technology, Inc",1
Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 0889523041840, Vendor: GIGABYTE Technology, Inc",0
"StarTech.com HDMI to USB C Video Capture Device UVC 1080p 60fps, External USB 3.0 HDMI Audio/Video Capture/Live Streaming/Recorder, TAA","SKU: UVCHDCAP, Vendor: StarTech.com",0
Cisco NVIDIA Quadro RTX 8000 Graphic Card - 48 GB,"SKU: HX-GPU-RTX8000, Vendor: Cisco Systems, Inc",1
"StarTech.com HDMI to USB C Video Capture Device UVC 1080p 60fps, External USB 3.0 HDMI Audio/Video Capture/Live Streaming/Recorder, TAA","SKU: UVCHDCAP, Vendor: StarTech.com",0
MSI NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 824142347065, Vendor: MSI",1
Asus ROG NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105175877, Vendor: ASUS Computer International",1
TUF NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 197105437845, Vendor: ASUS",1
NV A5000 GRAPHICS CARD,"SKU: 195892022633, Vendor: LENOVO OPTIONS",1
RTX 5070 TI 16G Video Card,"SKU: 824142402801, Vendor: MSI",1
DT RADEON PRO NAVI31 XL-W MBA T,"SKU: 0727419314886, Vendor: AMD PRO GRAPHICS",0
SFF-READY ASUS PRIME GEFORCE,"SKU: 0197105878044, Vendor: ASUS - VGA NVIDIA",0
PROARTRTX40608G,"SKU: 197105299436, Vendor: ASUS",1
ATEN VGA to HDMI Converter with Audio-TAA Compliant,"SKU: 818241319832, Vendor: ATEN Technology, Inc",0
Asus ROG NVIDIA GeForce RTX 3080 Graphic Card - 10 GB GDDR6X,"SKU: 195553321761, Vendor: ASUS Computer International",1
KanexPro SDI to HDMI Converter with Signal EQ & Re-Clocking,"SKU: SDI-SDHDXPRO, Vendor: KanexPro",0
DUAL RTX4060 O8G EVO,"SKU: 197105473195, Vendor: ASUS",1
GeoVision GV-Cloud Bridge Video Encoder,"SKU: GV-CLOUD BRIDGE, Vendor: GeoVision, Inc",0
TUF-RX7800XT-O16G-WHITE-GAMING,"SKU: 197105307926, Vendor: ASUS - AMD",0
AVerMedia Live Gamer 4K (GC573),"SKU: GC573, Vendor: AVerMedia Technologies, Inc",0
AMD Radeon Pro W7500 Graphic Card - 8 GB GDDR6 - Full-height,"SKU: 727419314862, Vendor: Advanced Micro Devices, Inc",0
DUAL RTX4060 O8G V2,"SKU: 197105392212, Vendor: ASUS",1
PNY NVIDIA RTX 6000 Ada Graphic Card - 48 GB GDDR6,"SKU: 751492767246, Vendor: PNY Technologies",1
StarTech.com HDMI or DVI to DisplayPort Active Converter,"SKU: DY8898, Vendor: StarTech.com",0
KanexPro SDI to HDMI Converter with Signal EQ & Re-Clocking,"SKU: SDI-SDHDXPRO, Vendor: KanexPro",0
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000902, Vendor: ASUS Computer International",0
Asus NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 197105182820, Vendor: ASUS Computer International",1
DUAL RADEON RX 7600 EVO OC,"SKU: 197105779402, Vendor: ASUS - AMD",0
GEFORCE RTX 3050 LP BRK OC,"SKU: 0197105515673, Vendor: ASUS - VGA NVIDIA",0
Asus ROG NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 195553964869, Vendor: ASUS Computer International",1
Live Streamer CAP 4K USB 3.0,"SKU: 795522966964, Vendor: AVermedia Technology",0
Asus ROG NVIDIA GeForce RTX 3080 Graphic Card - 10 GB GDDR6X,"SKU: 195553321761, Vendor: ASUS Computer International",1
VisionTek AMD Radeon HD 5570 Graphic Card - 1 GB GDDR3 - Low-profile,"SKU: 784090035004, Vendor: VisionTek Products, LLC",0
Asus NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 197105459243, Vendor: ASUS Computer International",1
LIVE STREAMER ULTRA HD GC571,"SKU: 850036764489, Vendor: AVERMEDIA",0
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142306451, Vendor: MSI",1
Cisco NVIDIA Grid K1 Graphic Card - Full-height,"SKU: 882658556111, Vendor: Cisco Systems, Inc",0
VanCryst VC080 HDMI EDID Emulator-TAA Compliant,"SKU: 0672792004193, Vendor: ATEN Technology, Inc",0
Lenovo NVIDIA Quadro RTX T400 Graphic Card - 2 GB,"SKU: 889488600366, Vendor: Lenovo Group Limited",1
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142329412, Vendor: MSI",1
"StarTech.com PCIe HDMI Capture Card, 4K 60Hz PCI Express HDMI 2.0 Capture Card w/ HDR10, PCIe x4 Video Recorder/Live Streaming for Desktop","SKU: PEXHDCAP4K, Vendor: StarTech.com",0
RTX 5090 32G SUPRIM LIQ SOC,"SKU: 824142397503, Vendor: MSI",1
AVerMedia X'TRA GO (GC515),"SKU: GC515 (White), Vendor: AVerMedia Technologies, Inc",0
VGA TO RCA OR S VIDEO CONVERTER,"SKU: 065030882590, Vendor: STARTECH.COM",0
Vaddio AV Bridge 2x1 Video and Audio Mixer for Video Conferencing - Black,"SKU: 999-8250-000, Vendor: Legrand Group",0
Aorus NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: GV-N5070AORUS M-12GD, Vendor: GIGABYTE Technology, Inc",1
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000902, Vendor: ASUS Computer International",0
TUF GAMING GEFORCE GTX 1650,"SKU: 192876556696, Vendor: ASUS - VGA NVIDIA",0
Gigabyte NVIDIA GeForce RTX 5070 Ti Graphic Card - 16 GB GDDR7,"SKU: GV-N507TAERO OC-16GD, Vendor: GIGABYTE Technology, Inc",1
PNY NVIDIA RTX 4000 Ada Graphic Card - 20 GB GDDR6 - Low-profile,"SKU: 751492776781, Vendor: PNY Technologies",1
Black Box 3G-SDI/HD-SDI to HDMI Converter,"SKU: 822088062400, Vendor: Black Box Corporation",0
XTRA GO GC515 WHITE,"SKU: 850061690135, Vendor: AVERMEDIA",0
Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 889523039281, Vendor: GIGABYTE Technology, Inc",0
NVIDIA RTX A2000 12GB 4mDP GFX,"SKU: 196337668386, Vendor: HP Business",1
Cisco NVIDIA Grid K1 Graphic Card - Full-height,"SKU: 882658556111, Vendor: Cisco Systems, Inc",0
Aorus NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: GV-N5070AORUS M-12GD, Vendor: GIGABYTE Technology, Inc",1
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142306475, Vendor: MSI",1
Asus NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 197105207264, Vendor: ASUS Computer International",1
Asus ROG NVIDIA GeForce RTX 3070 Graphic Card - 8 GB GDDR6,"SKU: 195553320252, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 197105125353, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553815468, Vendor: ASUS Computer International",1
GeoVision GV-800 Video Capturing Device,"SKU: 55-800EX-080, Vendor: GeoVision, Inc",0
TUF NVIDIA GeForce RTX 5080 Graphic Card - 16 GB GDDR7,"SKU: TUF-RTX5080-O16G-GAMING, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 197105454736, Vendor: ASUS Computer International",0
StarTech.com HDMI Audio Extractor - HDMI to 3.5mm Audio Converter - 2.1 Stereo Audio - 1080p,"SKU: HD2A, Vendor: StarTech.com",0
