model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes
RTX 4060,New,363.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-4060-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105454736, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 4060 LP BRK OC,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,223.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 197105515673, Vendor: ASUS Computer International",Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,217.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-3050-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105515673, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 3050 LP BRK OC,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,212.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/zotac-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 810012084642, Vendor: ZOTAC International",Zotac NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
HP NVIDIA RTX A400,New,207.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-rtx-a400-graphic-card-4-gb-gddr6,Shopify_Wamatek,"SKU: AV8J3AA, Vendor: HP Inc.",HP NVIDIA RTX A400 Graphic Card - 4 GB GDDR6,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 4GB,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-4gb-4mdp-gfx,Shopify_Wamatek,"SKU: 198701689911, Vendor: HP INC. - NSB OPTIONS",NVIDIA RTX A400 4GB 4MDP GFX,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
RTX 3050,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 889523041840, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
NV RTX A400 4GB,New,192.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nv-rtx-a400-4gb-gpu,Shopify_Wamatek,"SKU: 195892109709, Vendor: Lenovo",NV RTX A400 4GB GPU,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 RETAIL,New,160.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-retail-pack,Shopify_Wamatek,"SKU: 751492788067, Vendor: PNY QUADRO",NVIDIA RTX A400 RETAIL PACK,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 BOARD,New,146.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-board-only,Shopify_Wamatek,"SKU: 751492790688, Vendor: PNY QUADRO",NVIDIA RTX A400 BOARD ONLY,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
MSI NVIDIA GeForce 210,New,108.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-210-graphic-card-1-gb-gddr3-low-profile-1,Shopify_Wamatek,"SKU: 824241132142, Vendor: MSI",MSI NVIDIA GeForce 210 Graphic Card - 1 GB GDDR3 - Low-profile,GT_710,fuzzy,0.6476190476190476,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 81.0
